distance (nm),number_prob_density
-0.34666666666666623,0.0
-0.31999999999999984,0.0
-0.293333333333333,0.0
-0.2666666666666666,0.0
-0.23999999999999977,0.0
-0.21333333333333293,0.0
-0.18666666666666654,0.0
-0.1599999999999997,0.0
-0.1333333333333333,0.0
-0.10666666666666647,0.0
-0.07999999999999963,0.0
-0.05333333333333323,0.0
-0.026666666666666394,0.0
0.0,0.0
0.026666666666667282,0.0
0.05333333333333368,0.0
0.08000000000000007,0.0
0.10666666666666735,0.0
0.13333333333333375,0.0
0.16000000000000014,0.0
0.18666666666666654,0.0
0.21333333333333382,0.0
0.2400000000000002,0.0
0.2666666666666666,0.0
0.2933333333333339,0.0
0.3200000000000003,0.0
0.3466666666666667,0.0
0.37333333333333396,0.0
0.40000000000000036,0.0
0.42666666666666675,0.0
0.45333333333333403,0.0
0.4800000000000004,0.0
0.5066666666666668,0.0
0.5333333333333332,0.0
0.5600000000000005,0.0
0.5866666666666669,0.0
0.6133333333333333,0.0
0.6400000000000006,0.0
0.666666666666667,0.0
0.6933333333333334,0.0
0.7200000000000006,0.0
0.746666666666667,0.0
0.7733333333333334,0.0
0.8000000000000007,0.0
0.8266666666666671,0.0
0.8533333333333335,0.0
0.8799999999999999,0.0
0.9066666666666672,0.0
0.9333333333333336,0.0
0.96,0.0
0.9866666666666672,2.6571811205510202e-05
1.0133333333333336,0.0
1.04,2.6571811205509318e-05
1.0666666666666673,0.00010628724482204081
1.0933333333333337,0.00010628724482204081
1.12,0.0001860026784385652
1.1466666666666674,0.00021257448964408116
1.1733333333333338,0.00021257448964408162
1.2000000000000002,0.0002922899232606122
1.2266666666666666,0.0001328590560275466
1.2533333333333339,0.00015943086723306123
